DIM,I,Dataflow,HBM size,TAIDL-TO (CPU) (ms),TAIDL-TO (GPU) (ms),Gemmini Spike (ms)
16,1,OS,1024,0.084,0.653,40.000
16,2,OS,1792,0.081,0.584,42.000
16,4,OS,3328,0.102,0.739,43.000
16,8,OS,6400,0.114,0.674,45.000
16,16,OS,12544,0.147,0.944,49.000
16,32,OS,24832,0.246,1.058,56.000
16,64,OS,49408,0.446,1.881,70.000
16,128,OS,98560,0.684,2.437,96.000
16,256,OS,196864,1.074,3.938,152.000
64,1,OS,16384,0.283,0.678,73.000
64,2,OS,28672,0.632,0.627,89.000
64,4,OS,53248,0.981,0.705,134.000
64,8,OS,102400,1.188,0.671,228.000
64,16,OS,200704,1.607,0.967,400.000
64,32,OS,397312,2.380,1.390,755.000
64,64,OS,790528,4.291,2.287,1369.000
256,1,OS,262144,1.816,0.584,1198.000
256,2,OS,458752,3.320,1.108,2300.000
256,4,OS,851968,5.735,1.292,4298.000
256,8,OS,1638400,10.440,1.907,8225.000
256,16,OS,3211264,19.708,3.026,16717.000
1024,1,OS,4194304,6.837,3.936,64951.000
16,1,WS,1024,0.111,0.979,40.000
16,2,WS,1792,0.161,0.721,42.000
16,4,WS,3328,0.100,0.878,43.000
16,8,WS,6400,0.093,0.956,45.000
16,16,WS,12544,0.147,0.860,49.000
16,32,WS,24832,0.258,0.976,56.000
16,64,WS,49408,0.470,1.623,70.000
16,128,WS,98560,0.723,2.552,96.000
16,256,WS,196864,1.135,3.975,152.000
64,1,WS,16384,0.579,0.828,73.000
64,2,WS,28672,0.399,0.764,89.000
64,4,WS,53248,1.093,0.703,134.000
64,8,WS,102400,1.291,0.751,228.000
64,16,WS,200704,1.692,1.063,400.000
64,32,WS,397312,2.545,1.507,755.000
64,64,WS,790528,4.202,2.201,1369.000
256,1,WS,262144,1.654,1.006,1198.000
256,2,WS,458752,3.494,1.055,2300.000
256,4,WS,851968,5.929,1.369,4298.000
256,8,WS,1638400,9.722,2.030,8225.000
256,16,WS,3211264,18.103,2.971,16717.000
1024,1,WS,4194304,8.918,4.028,64951.000
